Title,Director,Rating,Synopsis,Release Date,Runtime
12 Angry Men,Sidney Lumet,8.55 out of 10,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.","April 10, 1957",1h 37m
2001: A Space Odyssey,Stanley Kubrick,8.07 out of 10,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.","April 02, 1968",2h 29m
20th Century Girl,Bang Woo-ri,8.16 out of 10,"In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own.","October 06, 2022",1h 59m
3 Idiots,Rajkumar Hirani,8.00 out of 10,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.","December 23, 2009",2h 51m
8½,Federico Fellini,8.10 out of 10,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.","February 14, 1963",2h 19m
A Brighter Summer Day,Edward Yang,8.31 out of 10,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.","July 27, 1991",3h 57m
A Clockwork Orange,Stanley Kubrick,8.19 out of 10,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?","December 19, 1971",2h 17m
A Dog's Journey,Gail Mancuso,8.10 out of 10,A dog finds the meaning of his own existence through the lives of the humans he meets.,"May 03, 2019",1h 49m
A Dog's Will,Guel Arraes,8.40 out of 10,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.","September 15, 2000",1h 44m
A Silent Voice: The Movie,Naoko Yamada,8.40 out of 10,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?","September 17, 2016",2h 9m
A Special Day,Ettore Scola,8.10 out of 10,Two neighbours — a persecuted journalist and a resigned housewife — forge a strong bond on the day of Adolf Hitler's historic 1938 visit to Rome.,"August 11, 1977",1h 46m
A Taxi Driver,Jang Hoon,8.10 out of 10,"May, 1980. Man-seob is a taxi driver in Seoul who lives from hand to mouth, raising his young daughter alone. One day, he hears that there is a foreigner who will pay big money for a drive down to Gwangju city. Not knowing that he’s a German journalist with a hidden agenda, Man-seob takes the job.","August 02, 2017",2h 18m
Alien,Ridley Scott,8.16 out of 10,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.","May 25, 1979",1h 57m
All About Eve,Joseph L. Mankiewicz,8.10 out of 10,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.","November 09, 1950",2h 19m
All Your Faces,Jeanne Herry,8.02 out of 10,"Since 2014, France's restorative justice programmes have offered a safe space for supervised dialogue between offenders and victims. Grégoire, Nawelle, and Sabine, victims of heists and violent robberies, agree to join one of these discussion groups alongside offenders Nassim, Issa, and Thomas, all convicted of violent robberies. Meanwhile Chloé, a victim of childhood sexual abuse, prepares for dialogue with her own agressor after learning he has moved back into town.","March 29, 2023",1h 55m
Along with the Gods: The Last 49 Days,Kim Yong-hwa,8.11 out of 10,"As the deceased soul Ja-hong and his three afterlife guardians prepare for their remaining trials for reincarnation, the guardians soon come face to face with the truth of their tragic time on Earth 1,000 years earlier.","August 01, 2018",2h 21m
Along with the Gods: The Two Worlds,Kim Yong-hwa,8.08 out of 10,"Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.","December 20, 2017",2h 19m
Amadeus,Miloš Forman,8.00 out of 10,Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Viennese composer Wolfgang Amadeus Mozart.,"September 19, 1984",2h 40m
American Beauty,Sam Mendes,8.01 out of 10,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.","September 15, 1999",2h 2m
American History X,Tony Kaye,8.34 out of 10,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.","July 01, 1998",1h 59m
Apocalypse Now,Francis Ford Coppola,8.30 out of 10,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.","August 15, 1979",2h 27m
Avengers: Endgame,Anthony Russo,8.25 out of 10,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.","April 24, 2019",3h 1m
Avengers: Infinity War,Joe Russo,8.24 out of 10,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","April 25, 2018",2h 29m
Ayla: The Daughter of War,Can Ulkay,8.07 out of 10,"In 1950, amidst the ravages of the Korean War, Sergeant Süleyman stumbles upon a a half-frozen little girl, with no parents and no help in sight and he risks his own life to save her, smuggling her into his army base and out of harm’s way.","October 27, 2017",2h 4m
Back to the Future,Robert Zemeckis,8.30 out of 10,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","July 03, 1985",1h 56m
Barry Lyndon,Stanley Kubrick,8.00 out of 10,"An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.","December 18, 1975",3h 5m
Believe Me: The Abduction of Lisa McVey,Jim Donovan,8.08 out of 10,"On the night she plans on taking her own life, 17-year-old 'Lisa McVey' is kidnapped and finds herself fighting to stay alive and manages to be a victim of rape. She manages to talk her attacker into releasing her, but when she returns home, no one believes her story except for one detective, who suspects she was abducted by a serial killer. Based on horrifying true events.","September 30, 2018",1h 38m
Better Days,Derek Tsang Kwok-Cheung,8.12 out of 10,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations.","October 25, 2019",2h 15m
Beyond the Universe,Diego Freitas,8.00 out of 10,"While waiting for a kidney transplant, a young pianist finds an unexpected connection with her doctor — and the courage to fulfill her musical dreams.","October 27, 2022",2h 6m
Bicycle Thieves,Vittorio De Sica,8.19 out of 10,"Unemployed Antonio is elated when he finally finds work hanging posters around war-torn Rome. However on his first day, his bicycle—essential to his work—gets stolen. His job is doomed unless he can find the thief. With the help of his son, Antonio combs the city, becoming desperate for justice.","July 21, 1948",1h 29m
Big Deal on Madonna Street,Mario Monicelli,8.10 out of 10,"Best friends Peppe and Mario are thieves, but they're not very good at it. Still, Peppe thinks that he's finally devised a master heist that will make them rich. With the help of some fellow criminals, he plans to dig a tunnel from a rented apartment to the pawnshop next door, where they can rob the safe. But his plan is far from foolproof, and the fact that no one in the group has any experience digging tunnels proves to be the least of their problems.","July 26, 1958",1h 46m
Black Beauty,Ashley Avis,8.00 out of 10,"Born free in the American West, Black Beauty is a horse rounded up and brought to Birtwick Stables, where she meets spirited teenager Jo Green. The two forge a bond that carries Beauty through the different chapters, challenges and adventures.","November 27, 2020",1h 50m
Bo Burnham: Inside,Bo Burnham,8.05 out of 10,"Stuck in COVID-19 lockdown, US comedian and musician Bo Burnham attempts to stay sane and happy by writing, shooting and performing a one-man comedy special.","July 22, 2021",1h 27m
Bo Burnham: Make Happy,Bo Burnham,8.03 out of 10,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special about  life, death, sexuality, hypocrisy, mental illness and Pringles cans.","June 03, 2016",1h 0m
Bo Burnham: Make Happy,Bo Burnham,8.03 out of 10,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special about  life, death, sexuality, hypocrisy, mental illness and Pringles cans.","June 03, 2016",1h 0m
Bound by Honor,Taylor Hackford,8.14 out of 10,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.","February 05, 1993",3h 0m
Call Me by Your Name,Luca Guadagnino,8.10 out of 10,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.","July 28, 2017",2h 12m
Capernaum,Nadine Labaki,8.20 out of 10,"After running away from his negligent parents, committing a violent crime and being sentenced to five years in jail, a hardened, streetwise 12-year-old Lebanese boy sues his parents in protest of the life they have given him.","September 20, 2018",2h 6m
Casablanca,Michael Curtiz,8.20 out of 10,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.","January 15, 1943",1h 42m
Casino,Martin Scorsese,8.01 out of 10,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.","November 22, 1995",2h 59m
Central Station,Walter Salles,8.10 out of 10,"An emotional journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.","November 20, 1998",1h 50m
Children of Paradise,Marcel Carné,8.10 out of 10,"In a chaotic 19th-century Paris teeming with aristocrats, thieves, psychics, and courtesans, theater mime Baptiste is in love with the mysterious actress Garance. But Garance, in turn, is loved by three other men: pretentious actor Frederick, conniving thief Lacenaire, and Count Edouard of Montray.","March 15, 1945",3h 10m
Cinema Paradiso,Giuseppe Tornatore,8.40 out of 10,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.","November 17, 1988",2h 4m
Citizen Kane,Orson Welles,8.00 out of 10,"Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.","April 17, 1941",1h 59m
City Lights,Charlie Chaplin,8.30 out of 10,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,"February 06, 1931",1h 27m
City of God,Fernando Meirelles,8.43 out of 10,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.","August 30, 2002",2h 9m
Clouds,Justin Baldoni,8.30 out of 10,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.","October 09, 2020",2h 1m
Coco,Lee Unkrich,8.21 out of 10,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.","October 27, 2017",1h 45m
Come and See,Elem Klimov,8.30 out of 10,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.","October 17, 1985",2h 22m
Cruella,Craig Gillespie,8.01 out of 10,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.","May 26, 2021",2h 14m
Das Boot,Wolfgang Petersen,8.10 out of 10,"A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.","September 17, 1981",2h 30m
Dead Poets Society,Peter Weir,8.30 out of 10,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.","June 02, 1989",2h 8m
Death Note Relight 1: Visions of a God,Tetsuro Araki,8.05 out of 10,"Yagami Light is an ace student with great prospects, who's bored out of his mind. One day he finds the ""Death Note"": a notebook from the realm of the Death Gods, with the power to kill people in any way he desires. With the Death Note in hand, Light decides to create his perfect world, without crime or criminals. However, when criminals start dropping dead one by one, the authorities send the legendary detective L to track down the killer, and a battle of wits, deception and logic ensues... This was aired on Japanese TV  shortly after the death note anime was completed, this special basically re-cuts the first 26 episodes of the series into a two hour movie with some new scenes and dialogue added and the story is seen from Ryuk's viewpoint.","August 31, 2007",2h 10m
Dedicated to my ex,Jorge Ulloa,8.30 out of 10,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.","November 01, 2019",1h 34m
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Haruo Sotozaki,8.21 out of 10,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!","October 16, 2020",1h 57m
Dial M for Murder,Alfred Hitchcock,8.00 out of 10,"An ex-tennis pro carries out a plot to have his wealthy wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway.","May 29, 1954",1h 45m
Dilwale Dulhania Le Jayenge,Aditya Chopra,8.50 out of 10,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.","October 20, 1995",3h 10m
Django Unchained,Quentin Tarantino,8.18 out of 10,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","December 25, 2012",2h 45m
Doctor Who: The Day of the Doctor,Nick Hurran,8.20 out of 10,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion. All of reality is at stake as the Doctor's own dangerous past comes back to haunt him.","November 23, 2013",1h 17m
Dou kyu sei – Classmates,Shoko Nakamura,8.40 out of 10,"Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.","February 20, 2016",1h 1m
Double Indemnity,Billy Wilder,8.10 out of 10,A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy.,"July 06, 1944",1h 47m
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,8.12 out of 10,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.","January 29, 1964",1h 35m
Dune: Part Two,Denis Villeneuve,8.10 out of 10,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.","February 27, 2024",2h 47m
El mesero,Raúl Martínez,8.00 out of 10,A waiter pretends to be an important businessman in order to reach the upper class through his entrepreneurial dreams.,"July 15, 2021",1h 26m
Elite Squad,José Padilha,8.04 out of 10,"In 1997, before the visit of the pope to Rio de Janeiro, Captain Nascimento from BOPE (Special Police Operations Battalion) is assigned to eliminate the risks of the drug dealers in a dangerous slum nearby where the pope intends to be lodged.","October 12, 2007",1h 55m
Eternal Sunshine of the Spotless Mind,Michel Gondry,8.10 out of 10,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.","March 19, 2004",1h 48m
Evangelion: 3.0+1.0 Thrice Upon a Time,Kazuya Tsurumaki,8.20 out of 10,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.","March 08, 2021",2h 35m
Far from the Tree,Natalie Nourigat,8.08 out of 10,"On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.","November 24, 2021",0h 7m
Fight Club,David Fincher,8.44 out of 10,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","October 15, 1999",2h 19m
Five Feet Apart,Justin Baldoni,8.25 out of 10,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.","March 14, 2019",1h 56m
Flipped,Rob Reiner,8.02 out of 10,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.","August 06, 2010",1h 29m
Flow,Gints Zilbalodis,8.50 out of 10,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.","August 29, 2024",1h 25m
For a Few Dollars More,Sergio Leone,8.02 out of 10,Two bounty hunters both pursue a brutal and sadistic bandit of the name El Indio who has a massive bounty on his head.,"December 18, 1965",2h 12m
Ford v Ferrari,James Mangold,8.01 out of 10,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.","November 13, 2019",2h 33m
